n,source_id,acronym,meur,titre,resume_court,label_propose,raison
66,211861,DREAM,25.00,valiDation of Radical Engine Architecture systeMs,"Since the publication of the ACARE goals, the commercial and political pressure to reduce CO2 has increased considerably. DREAM is the response of the aero-engine community to this pressure. The first major DREAM objective is to design, integrate and validate new engine concepts based on open rotor contra-rotating architectures to reduce fuel consumption and CO2 emissions 7% beyond the ACARE 2020 ",core,"Le texte porte « certification », « aeronautic », « turbofan » — objet développé apparemment aéronautique."
67,807090,FRC GAM 2018,86.00,Fast Rotorcraft,"The challenge in rotorcraft design is always to improve payload-lifting capability, reduce fuel burn and increase the vehicle's range – the traditional objectives in aeronautical design.",core,"Le texte porte « aeronautical », « aeronautic », « rotorcraft » — objet développé apparemment aéronautique."
68,865131,TCTOOL,1.05,"Innovative Tooling, End-Effector Development and Industrialisation for Welding of Thermoplastic Components","The next generation of large passenger aircraft will make extensive use of thermoplastic composites which could replace thermoset composites and metals in many areas of aircraft construction. Thermoplastic composites can be lighter in weight even than thermoset composites, but the key advantage is that they can be joined together using welding processes. This has the potential to eliminate many of",core,"Le texte porte « aircraft », « fuselage », « flight » — objet développé apparemment aéronautique."
69,101101961,HECATE,34.14,Hybrid ElectriC regional Aircraft distribution TEchnologies,"Aviation needs to meet the ambitious targets of the European Green Deal. This means a step change is needed towards hybrid electric regional aircraft to significantly reduce the fuel burn. This can only be accomplished with power distribution networks that can safely handle the high power and high voltage levels, ultimately up to several Megawatt. The HECATE project will address the associated cha",core,"Le texte porte « certification », « aviation », « aircraft » — objet développé apparemment aéronautique."
70,101114838,TRUSTY,1.00,TRUSTWORTHY INTELLIGENT SYSTEM FOR REMOTE DIGITAL TOWER,"Remote digital towers (RDT) are taking place around the world to ensure efficiency and safety.  TRUSTY harnesses the power of artificial intelligence (AI) to enhance resilience, capacity, and efficiency in making significant advancements in the deployment of digital towers. The overall goal of TRUSTY is to provide adaptation in the level of transparency and explanation to enhance the trustworthine",core,"Le texte porte « landing », « drone » — objet développé apparemment aéronautique."
71,831993,E-PILOTS,0.80,Evolution of cockPIt operations Levering on cOgnitive compuTing Services,"New technologies have allowed pilots to assume more responsibilities reducing the number of some mechanic and repetitive tasks through automation. The flight deck transition to digital computer-based flight management system has shown a reduction of the workload across a variety of tasks. However, there are still several open issues that requires further research and a deeper understanding of pilo",core,"Le texte porte « aircraft », « cockpit », « flight » — objet développé apparemment aéronautique."
72,686711,TiAlCracks,0.44,Crack growth threshold analysis in TiAl alloys,"The objective of the project is to investigate the fatigue crack growth (FCG) threshold and rate for long as well as short cracks of second generation TiAl alloys suitable for use in the Intermediate Pressure Turbine (IPT) of the UltraFanTM engine. The work includes in detail all investigations specified in the Call for Proposals JTI-CS2-2014-CFP01-ENG-03-04, that are:•determination of the FCG thr",core,Propagation de fissures dans les alliages TiAl de seconde génération — matériau d'aube de turbine.
73,336948,BUCOLIC,0.95,Buffet Control of Transonic Wings,"The aim of this work programme is to develop a capability to understand and predict transonic buffet on wings fitted with buffet control devices.Wind tunnel tests will be performed on a half model with buffet control devices fitted to measure dynamic flow characteristics during buffet onset.Unsteady RANS and DES CFD calculations will be carried out, validated against the wind tunnel data.  The CFD",core,Contrôle du buffet transsonique sur voilure.
74,831848,DENOX,0.61,Innovative Technologies of Electrochemical Suppression and Electromagnetic Decomposition for NOx Reduction in Aeroengines,DENOX project aims to develop and experimentally prove two breakthrough technology concepts and their optimal combination for drastic reduction of NOx emissions in aeronautic gas-turbine engines (GTEs).Technology concept 1 is electrochemical suppression of NOx generation in primary combustion zone. It consists in generation of modulated discharge(s) in combustion chamber to initiate chemical react,core,"Le texte porte « aeronautic », « aircraft » — objet développé apparemment aéronautique."
75,323475,E-SLEEVE,0.15,Direct filament wound rotor carbon resin sleeves by bulk curing and layer-by-layer Electron beam polymerisation,"E_SLEEVE activities deal with the design, set-up and demonstration of two distinct processes for the filament winding of the required carbon composite retaining sleeve, to be realized directly integrated onto the high speed motocompressor rotor of air conditioning systems used in aircraft application: the first one will use Cyanate Ester resin and subsequent bulk curing, the second one will use sp",core,Le texte porte « aircraft » — objet développé apparemment aéronautique.
76,278170,Neural,0.11,Neural network computation for fast trajectory prediction,The Neural project proposes to take advantage of the neural networks capabilities to approximate the aircraft performance models in order to achieve the High Speed Numerical Integrator pursued by the MTM. The Neural development would allow SGO ITD to evaluate the potential benefit of the Neural Network for improving the access to the performance data.The Neural consortium was created to join the a,core,"Le texte porte « aeronautic », « aircraft » — objet développé apparemment aéronautique."
77,323427,WELDMINDT,0.37,Open rotor Engine WELDed parts  inspection using MINiaturizable NonDestructive Techniques,"SAGE project, included in Clean Sky research project aims at demonstration of engines and technologies to reduce the fuel consumption and therefore reducing CO2 emissions in order to fulfill the European Aviation environmental objectives for 2020 of decrease 50% of CO2 emissions.WELDMINDT project is focused on giving solutions for the inspection of welded components with limited access in Open Rot",core,"Le texte porte « maintenance », « aviation » — objet développé apparemment aéronautique."
78,731781,PJ02 EARTH,15.59,Increased Runway and Airport Throughput,"EUROCONTROL’s 2013 Challenges of Growth Report “by 2035 more than 20 airports are operating at 80% or more of capacity for 6 or more hours per day … drives ATFCM airport delay up from around 1 minute/flight in 2012 to 5-6 minutes in 2035.”Whereas social, economic and environmental constraints impede building new runways, secondary airports are hindered by technical, infrastructure and meteorologic",core,"Le texte porte « helicopter », « rotorcraft », « aviation » — objet développé apparemment aéronautique."
79,887240,AEROMO2,0.88,Towards the application of MOrphing MOvables in AEROstructures,"The framework of the project is to support the development of an active morphing winglet demonstrator within the Airframe ITD. The current project will deliver elements necessary for the future industrialisation of the technologies involved in morphing movables. These elements concern (I)- a comprehensive material behaviour characterisation and prediction method, specific for the requirements coup",core,Le texte porte « airframe » — objet développé apparemment aéronautique.
80,821297,COMBUSS,0.60,Composite tooling for business jet lower wing stiffened panel manufacturing,"The aim of the COMBUSS project is to develop, design, manufacture and deliver to the Topic Manager facilities, all the prototype subcomponent manufacturing tooling needed to manufacture the stiffeners and panel of lower wing (including all auxiliary tools). COMBUSS project will design the tooling system which will incorporate self-heated capability with multiple heating zones and advanced thermal ",core,"Le texte porte « aeronautical », « aeronautic », « flight » — objet développé apparemment aéronautique."
81,714246,Ascent AM,0.70,Adding Simulation to the Corporate ENvironmenT for Additive Manufacturing,"The achievement of the Clean Sky 2 (CS 2) objectives, concerning the reduction of CO2 and fuel burn by up to 30 % as well as the reduction of NOX by up to 40 %, is strongly associated with the availability of innovative technologies and adapted structural design. Additive manufacturing (AM) is one of the key enablers and thus inalienable to reach these goals. First simple aero engine parts manufac",core,Fabrication additive au service des objectifs de réduction de CO2 et de NOx d'un programme aéronautique.
82,284881,SUNJET,0.31,SUstainable Network for Japan-Europe aerospace research and Technology cooperation,"SUNJET is a European Project within the Framework Programme 7 (Research / Aeronautics and Air Transport) aiming at establishing an initial framework, data base and network, in order to facilitate and enhance the cooperation in R&T activities between Japan and Europe. Through the participation of all the relevant Stakeholders, it will introduce a more structured dialogue to identify the similaritie",core,"Le texte porte « air transport », « aeronautic » — objet développé apparemment aéronautique."
83,314180,BOPACS,4.60,Boltless assembling Of Primary Aerospace Composite Structures,The main challenge of the BOPACS project is to reduce the weight and costs of primary aerospace structures by developing bolt free adhesive bonded joints that comply with the airworthiness requirements.Until today thin walled composite primary aerospace structures are joined by using a large number of fasteners. Bolt free joining would considerably contribute to the weight and cost reduction of ae,core,"Le texte porte « certification », « airworthiness », « easa » — objet développé apparemment aéronautique."
84,807087,TE2 GAM 2018,2.25,Technology Evaluator 2 - GAM 2018,"The Technology Evaluator (TE) is Clean Sky's platform for quantifying exactly how environmentally beneficial the innovations developed within its programmes really are - and, critically, how these efficiencies correlate to ACARE's ecological targets.",core,« Technology Evaluator » — quantification du bénéfice environnemental d'innovations aéronautiques.
85,641543,JIF2LAND,0.52,Jigs and Fixtures for Assembly of the Laminar Wing at the BLADE flight test demonstrator Final Assembly Line,"The objective of JIF2LAND proposal it to conduct the evelopment, design, manufacture and installation of jig platforms, staging and operational tooling for removing the BLADE wing (Natural Laminar Flow) sections of an A340-300, after the flight test and to assembly the original wings tips of the aircraft. The SFWA flight test demonstrator aims to validate that a specific wing profile can sustain l",core,"Le texte porte « flight test », « aircraft », « flight » — objet développé apparemment aéronautique."
86,999902,SAGE,157.43,JTI-Clean Sky 1-Sustainable And Green Engines-Integrated Technology Demonstrator,"The SAGE ITD started on June 1st, 2008 and launched by beginning of 2009 all related demonstrators in different engine segments: Two open rotor configurations, namely: SAGE1, Geared Open Rotor Demonstrator Led by Rolls-Royce plc with contributions from Rolls-Royce Deutschland, ITP, GKN Aerospace, Airbus and Leonardo Aircraft, and SAGE2, Contra-Rotating Open Rotor Demonstrator Led by Safran Aircraf",core,"Le texte porte « helicopter », « turbofan », « aircraft » — objet développé apparemment aéronautique."
87,255689,FRARS,0.04,Future Regional Aircraft Requirements Study,"A study to investigate and assess the requirements associated with future Regional Aircraft in terms of future 'green' and other operational 'scenarios' and constraints, as seen by the Regional Airlines. The aim of the study lies in the identification, analysis, assessment and trade-off of the identified requirements in order to define the most 'optimum' combinations of these, overall. The results",core,"Le texte porte « aircraft », « airline » — objet développé apparemment aéronautique."
88,296549,ISINTHER,0.20,Industrialization setup of Thermoplastics in situ consolidation process,"Thermoplastics (TP) are high molecular weight polymers which, unlike thermosetting (TS) resins, do not form a rigid three-dimensional cross-linked chemical structure after processing. This allows the TP to be readily re-melted and re-formed, not the TS. Additional advantages are: chemical/impact resistance, range of temperatures, low level of moisture uptake then low hot/wet conditions degradation",a_arbitrer,"Consolidation in situ de thermoplastiques, décrite sans objet aéronautique explicite."
89,341531,HYPMOCES,0.58,Hypersonic Morphing for a Cabin Escape System,Passenger safety is one of the main drivers for the development of future trans-atmospheric transportation systems. The high levels of energy associated hypersonic flights as well as the level of reliability of the enabling technology leads to the need of a passenger escape system in case of flight abort.The implementation of a cabin escape system for a hypersonic aircraft is challenged by the int,core,"Le texte porte « aircraft », « landing », « flight » — objet développé apparemment aéronautique."
90,807089,REG GAM 2018,50.22,Regional Aircraft,"An aircraft that can transport between approximately 100-130 passengers, and is intended for short and medium haul flights can be considered to be a Regional Aircraft. The challenge is to improve the passenger experience so that regional aircraft offer a comparable level of inflight comfort, free from noise and vibration, with a comfort level comparable or better than today’s modern jets and with ",core,"Le texte porte « aircraft », « airport », « flight » — objet développé apparemment aéronautique."
91,308968,ESTOLAS,0.58,A novel concept of an extremely short take off and landing all-surface (ESTOLAS) hybrid aircraft: from a light passenger aircraft to a very high payload cargo/passenger version,"The concept of the project is to develop and validate the conceptual design of a hybrid aircraft – a flying device combining the best qualities of an airship, a plane, a helicopter and a hovercraft. Such hybrid aircraft constitutes a completely novel type of an aircraft – extremely short take off and landing on any surface (ESTOLAS). ESTOLAS aircraft will have the following major advantages compar",core,"Le texte porte « air vehicle », « helicopter », « aviation » — objet développé apparemment aéronautique."
92,821270,GRACE,1.74,GaN mm-wave Radar Components Embedded,"The GRACE project aims at development of surface mount technology (SMT) components for mm-wave (mmW) frequencies, with particular focus on radar systems in the W-band. Low-cost high-performance radars are critical for future Enhanced Flight Vison System (EFVS) combining IR sensors and a mmW radar.  Key radar components are Power Amplifier (PAs) and Signal Sources (SSs), two functionalities that re",core,Le texte porte « flight » — objet développé apparemment aéronautique.
93,887174,DIAS,0.50,Development of Interdisciplinary Assessment for manufacturing and deSign,"DIAS develop and demonstrate the integrated multidisciplinary tools necessary to speed up implantation and design integration or Open Rotor structural components in next generation aircrafts. This require more flexible design studies, allowing a wider set of design variants to be explored simultaneously with accounting for manufacturing equipment and process applicability. DIAS bring in state of t",core,Le texte porte « aircraft » — objet développé apparemment aéronautique.
94,296613,INARAS,0.41,Automated Riblets Application on Aircraft Parts,"The Project INARAS (Intregal Automated Riblets Application System) is aimed to find out an automatic and cost effective way to paint riblets on an aircraft surface.The research and development to carry out in this Project will develop, integrate and test an Integral System to be used on real aircraft parts or mock-up to paint riblets. Riblets are a drag reduction technique that consists of small g",core,"Le texte porte « aeronautical », « maintenance », « aeronautic » — objet développé apparemment aéronautique."
95,298171,FIBIOSEAT,0.14,FIre resistant BIObased polyurethane foam for aircraft SEATing cushions,"Flexible polyurethane (PU) foams are widely used in many industrial applications including automotive and aeronautics as fillers for seats, headrests etc. They are made from a reaction of two primary ingredients: an isocyanate and a polyol. Originally, these raw materials were derived from petrochemical feedstocks. The use of bio-polyols, i.e. derived from vegetable oils, as an alternative to stan",core,"Le texte porte « aeronautic », « aircraft » — objet développé apparemment aéronautique. Contexte multisectoriel mentionné (automotive) — vérifier I13."
96,101114815,MultiModX,1.31,Integrated Passenger-Centric Planning of Multimodal Transport Networks,"The vision of MultiModX is that of a multimodal European transport system in which air and rail networks are planned and managed in a coordinated manner to maximise the efficiency, predictability, environmental sustainability and resilience of the door-to-door passenger journey. The goal of MultiModX is to develop a set of innovative multimodal solutions and decision support tools for the coordina",a_arbitrer,Planification multimodale air + rail : l'aérien n'est qu'un mode sur deux (I13 possible).
97,101140638,TROPHY,20.60,Technological Research On Propulsion by HYdrogen,"The TROPHY project, which stands for Technological Research On Propulsion by HYdrogen, aimed at supporting the Clean Aviation HYDEA funded project (HYdrogen DEmonstrator for Aviation), which proposes a technology maturation plan to develop an H2C (Hydrogen Combustion) propulsion system compatible with an Entry Into Service of a zero CO2 low-emission aircraft in 2035. TROPHY supported design activi",core,"Le texte porte « aviation », « aircraft » — objet développé apparemment aéronautique."
98,271858,DIMAG,0.05,Development and Implementation of Magnesium sheets in A/C,"The main objective of DIMAG project is to develop and produce magnesium Demonstrator for aircraft after answering all given aviation criteria and requirements. By achieving this objective, DIMAG will facilitate obtaining the Clean Sky objectives of reduction in weight, fuel consumption, emissions of CO2 and NOX and the use of fully recyclable material. Since magnesium 100% recyclable and is 35% li",core,"Le texte porte « aviation », « aircraft » — objet développé apparemment aéronautique."
99,101114805,AI4HyDrop,1.99,An AI-based Holistic Dynamic Framework for a safe Drone’s Operations in restricted and urban areas,"With an increasing number and diversity of potential drone operations, managing the airspace to accommodate these drones will become an increasingly sophisticated task, especially in densely populated urban areas encompassing restricted zones with dynamic environmental and operational influences. Due to the associated higher probability of conflicts, and ultimately collisions, such areas require m",core,"Le texte porte « air traffic », « flight », « drones » — objet développé apparemment aéronautique."
100,831751,HERON,0.93,Fully controlled RTM tooling and high deposition rate ALM technologies for cost-effective and sustainable manufacturing of hybrid laminar wing demonstrator,"The overall objective of HERON is to develop and manufacture a comprehensive set of innovative, cost-effective and sustainable tooling for RTM processes as well as the use of high deposition rate ALM technologies, aiming at improving the energy and resource efficiency of the manufacturing of a leading edge and trailing edge for integration on aeronautical demonstrator. To this end, four innovative",core,"Le texte porte « aeronautical », « aeronautic » — objet développé apparemment aéronautique."
101,101286802,ZEUS,2.00,Zero/low Emission Aircraft Integration into Future European Air Traffic System,"The goal of ZEUS is to develop an integrated framework for the modelling, management, and assessment of the impact of next generation zero/low emission aircraft on the future European ATM network. This goal can be translated into the following specific objectives:1. To define an operational framework and a set of representative use cases that guide the assessment of the impact of zero/low emission",core,"Le texte porte « air traffic », « aircraft », « flight » — objet développé apparemment aéronautique."
102,270599,BME CLEAN SKY 032,0.13,"Resin, Laminate and Industrial Nanoparticles Concept and Application. Industrialization","The aim of this proposal is to develop hybrid epoxy resin composites, where both the matrix and the carbon fibre reinforcement contains nanoparticles, in order to improve the mechanical, electrical and thermal properties of the carbon fibre reinforced aeronautical structures.The dispersion of the selected nanoparticles in epoxy resin matrix will be carried out by a three step masterbatch technique",core,"Le texte porte « aeronautical », « aeronautic » — objet développé apparemment aéronautique."
103,323402,AiMeRe,0.17,Aircraft Metal Recycling,"Since only a limited amount of A/C alloys can be reemployed into the initial quality, the recycling industry shall be able to identify parts containing high grade alloys to ensure its profitability . Therefore, the AiMeRe project proposes to set up a methodology for high grade alloys processing of ageing A/C. The valorisation of valuable parts requires advanced procedures to identify and different",core,"Le texte porte « aviation », « aircraft », « airport » — objet développé apparemment aéronautique."
104,755606,FINCAP,1.00,Fuel INjector Coking and Autoxidation Prediction,The aim of this project is to develop a robust theoretical framework to allow the modelling of the build-up of surface carbonaceous deposits in jet fuel injection systems so that fuel injectors for advanced engines such as the VHBR may be designed with an acceptable maintenance frequency and their life span predicted. Given the high heat sink requirement on aviation fuel in geared turbofan archite,core,"Le texte porte « maintenance », « turbofan », « aviation » — objet développé apparemment aéronautique."
105,278144,SUPERBLEND,0.15,Development of Thermoplastic Polymer blend with Low Melting Point and with Similar Properties than PEEK,"Since thermoplastic matrices can be replacing thermoset matrices in aircraft structural applications, the next step is to get eco-friendly thermoplastic materials able to be manufactured with less energy than PEEK.It is therefore necessary to develop an innovative compound with similar mechanical and physic-chemical properties than PEEK but with lower melting point in order to reduce the energy fo",core,"Le texte porte « aeronautic », « aircraft » — objet développé apparemment aéronautique."
106,101288834,ARTEMISA,27.50,"Advancing platforms for en-Route and TMA to support incrEased autoMation, Interoperability and SustAinability","The Advancing platforms for en-Route and TMA to support incrEased autoMation, Interoperability and SustAinability (ARTEMISA) project plays a central role in the realisation of the Digital European Sky vision in SESAR Phase C and Phase D, delivering the next generation of En-route and TMA platform. The proposed project aims to advance the platform toward Automation Level 4, where automation takes d",core,Le texte porte « sesar » — objet développé apparemment aéronautique.
107,686374,NEODAMP,0.35,New Enhanced Acoustic Damping Composite Materials,"NEODAMP is marked in the ITD Airframe part B, oriented to highly integrated innovative structural components, for the Large Passenger Aircraft. NEODAMP will develop new prepreg composite materials for structural purposes in the aircraft, able to support structural loads and other additional functions. The project is focused on acoustic damping and complemented with electrical conductivity studies ",core,"Le texte porte « aircraft », « fuselage », « airframe » — objet développé apparemment aéronautique."
108,686783,MALET,0.50,Development of MODELICA Libraries for ECS and Thermal management architectures,"The goal of this project is the development of Modelica libraries (Dymola compatible) to simulate Electrical Environmental Control System (E-ECS) architectures including thermal management perimeter. The efforts will be focused on developing an optimized model to simulate vapour cycle systems (VCS) and liquid loop systems at both steady state and transient operational conditions. In addition, an a",core,Bibliothèques de simulation pour systèmes de conditionnement d'air embarqués.
109,807088,SAT GAM 2018,0.73,Small Air Transport (SAT) - GAM 2018,"Small Air Transport (SAT) deals with small general aviation and commuter/feeder aircraft and their technology needs: ‘fixed wing’ aircraft with between 4 and 19 seats. To meet the Flightpath 2050 target whereby """"90% of travelers within Europe are able to complete their journey, door-to-door within 4 hours"""", SAT aircraft ails at filling a gap that many other travel paradigms struggle to fill.""""",core,"Le texte porte « air transport », « aviation », « aircraft » — objet développé apparemment aéronautique."
110,233672,ICOA.10.09,0.06,"International Conference on Airports, October 2009 Paris","Concept: The Air and Space Academy (AAE) proposes to organise a 2-day international conference on “Airports and their Challenges”, in DGAC Paris (7-8 October 2009).  Background: Europe needs to develop new transport networks and infrastructures in order to support its industry and promote economic growth. Air transport has increased faster than any other mode of transport in the past 20 years, but",core,"Le texte porte « air transport », « airport » — objet développé apparemment aéronautique."
111,308183,SANDIT,0.47,Design and manufacture of a flight worthy intake system (scoop/NACA divergent intake) SCOOP AND NACA DIVERGENT INTAKE TRIAL (SANDIT),"This proposal supports the supply of an innovative scoop and NACA divergent intake, qualified to a sufficientlevel to support flight trial activities.With a successful pedigree in intake design, coupled with a wealth of experience in complex structures andhaving gained a detailed understanding of scoop intake design from successful delivery of the original JTI funded scoop program, GKN and its par",core,"Le texte porte « aircraft », « nacelle », « flight » — objet développé apparemment aéronautique."
112,271875,AERTECVTI,0.56,Test bench for endurance test and reliability prediction of avionics power electronic modules,The goal of the project is design and manufacture a specific test bench dedicated to give more confidence of the design in term of reliability at components level and help the user to expertise and to validate the minimum life expectation of future aircraft power electronics converters.Endurance Tests and Reliability Prediction of avionics is a critical part of the development of on-board electron,core,"Le texte porte « aircraft », « avionic », « flight » — objet développé apparemment aéronautique."
113,821418,ESTiMatE,1.80,Emissions SooT ModEl,"The main objective of ESTiMatE is to develop a modelling strategy using CFD simulations for the prediction of soot in terms of chemical evolution and particle formation in conditions relevant to aero engine operation. The model developments are based on the use of detailed chemical kinetics for kerosene surrogates, and advanced combustion and spray models validated with reference experiments. ESTi",core,"Le texte porte « aeronautical », « aeronautic » — objet développé apparemment aéronautique."
114,641559,COMPOSLEEVE,0.19,Development of a composite sleeve for spatial separation of rotor and stator in an electric motor,"The Project COMPOSLEEVE is aimed to find out a way to produce a stator sleeve for stator/rotor separation in electrical motor, which need to be cooled with aggressive fluids such as Skydrol, with high internal pressure and a temperature range that goes above 200ºC. For this application possible materials are composites with high Tg resins, such as BMI or Cyanate ester, reinforced with non conducti",a_arbitrer,"Manchon composite de séparation rotor/stator de moteur électrique, sans mention d'application aéronautique."
115,101101955,SMR ACAP,45.05,SMR aircraft architecture and technology integration project,"The SMR Aircraft Architecture and Technology Project (SMR ACAP) shall be the central place to assess and integrate all technologies at aircraft level, from across the projects in the SMR pillar. Establishing the link to projects with relevant technologies in the other Clean Aviation """"Pillars"""" and transverse projects associated with novel certification methods is part of the work plan of the proj",core,"Le texte porte « certification », « aviation », « aircraft » — objet développé apparemment aéronautique."
116,680954,PropMat,2.74,Support to Future CROR and UHBR Propulsion System Maturation,"In the framework of the Large Passenger Aircraft ITD of Clean Sky 2, the industrial partners Airbus & Safran pushed the CROR low fuel burn propulsion concepts to TRL6, towards a flight test demonstration program. The activities proposed in this document will make a valuable contribution to this program. In addition PropMat provides valuable support to the implementation of the Airbus roadmaps for ",core,"Le texte porte « flight test », « aircraft », « flight » — objet développé apparemment aéronautique."
117,255797,VELOCIRAPTOR,0.11,Development of Synthetic Jet Actuator Hardware for the Green Regional Aircraft Low Noise Configuration,"Call JTI-CS-2009-1-GRA-02-003 requires an effective, efficient and reliable Synthetic Jet Actuator (SJA) system to be supplied as a complete plug-and play unit for wind tunnel testing. Based on recent experience gained in the EU FP6 AVERT programme in which this capability was demonstrated, the University of Manchester (UoM) proposes to develop such a system in conjunction with the manufacturing a",core,Le texte porte « aircraft » — objet développé apparemment aéronautique.
118,999903,SFWA,147.84,JTI-Clean Sky 1-Smart Fixed Wing Aircraft-Integrated Technology Demonstrator,"SFWA - Smart Fixed Wing Aircraft: SFWA is developing two major large transport aircraft technologies the first mainly related to the drag reduction by using laminar flow and known as 'smart wing', and the second related to the integration of advanced (ultra-) high bypass propulsion concepts such as Open Rotor. The objective is to achieve maturity levels in both technologies to a status close to a ",core,"Le texte porte « aircraft », « flight » — objet développé apparemment aéronautique."
119,101007567,CICLOP,0.85,Characterization of the Interaction between wing and CLosely Operating Propeller,"Scheduled commercial transport volume is continuously growing, representing the global megatrend """"Mobility"""". The subsequently higher number of aircrafts requires new and low energy concepts to achieve the European goals for sustainable aviation. Distributed (Electric) Propulsion (DP/DEP) is such new technology which opens up the design space and promises significant increase in overall aircraft ",core,"Le texte porte « aviation », « aircraft » — objet développé apparemment aéronautique."
120,255783,ADOCHA,0.15,Acoustic Design Of High-lift Architectures,"Regulation of the sound production of aircraft is becoming stricter, in part due to an increase in the noise generated due to the rising numbers and size of aircraft. As a result identification and reduction of the major sources of sound, particularly in the take-off and landing phases when the aircraft is close to population centres, is paramount. High lift devices, particularly during the landin",core,"Le texte porte « aircraft », « airframe », « landing » — objet développé apparemment aéronautique."
121,737992,TAMI,0.27,Tests for leakage identification on Aircraft fluid Mechanical Installations,"The project aims to develop innovative methods to make on-ground leak testing more efficient, ecological and faster in aeronautical industry environments, reducing costs, time to market and toxic wastes due to standardization on test procedures and testing using non-polluting means.  The project will draw on TQC's in-depth knowledge of leak testing techniques, our wide experience of fluid mechanic",core,"Le texte porte « aeronautical », « aeronautic », « aircraft » — objet développé apparemment aéronautique. Contexte multisectoriel mentionné (automotive) — vérifier I13."
122,323336,LIGHTBOX,0.19,LIGHTWEIGHT COMPOSITE BUS SYSTEM HOUSING FOR EXTREME ENVIRONMENTS,"Conventional racks for avionics are made from metal. Most of the avionics fielded today offer a monolithic architecture in form closed box packed with electronics and lots of connectors at the front or the back with corresponding heavy cable harness. More recent developments go for modular avionics, packing electronics with standard dimensions and connectors that assure physical interchangeability",core,"Le texte porte « aircraft », « avionic » — objet développé apparemment aéronautique."
123,101114776,ImAFUSA,0.88,Impact and capacity Assessment Framework for U-space Societal Acceptance,"ImAFUSA focuses on quantifying a variety of understudied factors influencing societal acceptance of UAM in urban, peri-urban and inter-urban areas, especially when these are deployed using U3 and U4 services. We aim to deliver an “Impact and capacity Assessment Framework for U-space Societal Acceptance” (ImAFUSA) to assist Local Authorities and other U-space stakeholders and users with the deliver",core,"Le texte porte « aviation », « drone » — objet développé apparemment aéronautique."
124,213414,FUTURE,7.00,Flutter-Free Turbomachinery Blades,"FUTURE brings together European and international well reputed centres-of-excellence in order to reach major scientific & technical objectives in striving towards flutter-free turbomachine blades. By advancing the state-of-the-art in flutter prediction capabilities and design rules, the FUTURE project will lead to benefits in terms of decreased development cost, reduced weight and fuel consumption",core,Aubes de turbomachine et flottement — un organe de moteur aéronautique.
125,821466,HIPNOSIS,0.85,Hardware Implementation of Pilot-Non-intrusive cOgnitive States Identification System,"With ever increasing air traffic and the fierce competition between airlines, cost reduction is exerting more and more pressure on airlines, inevitably transferred to pilots whose profession becomes increasingly demanding. The adoption of new ground technologies has the potential to increase safety while decreasing operating costs. Platform 3 of LPA IADP aims to develop disruptive flight-qualified",core,"Le texte porte « certification », « aeronautical », « air traffic » — objet développé apparemment aéronautique. Contexte multisectoriel mentionné (automotive) — vérifier I13."
126,101255537,OSYRYS,40.00,On-board SYstems Relevant for hYbridization of Regional aircraftS,"The achievement of the ACARE emission reduction targets, in combination with the projected growth in new aircraft deliveries, requires the aviation industry to do a further step, by drastically shifting towards electric/hybrid-electric propulsion also for larger aircraft, thus resulting into high electrical power distribution levels. The latter introduce new challenges in terms of electrical power",core,"Le texte porte « aeronautic », « aviation », « aircraft » — objet développé apparemment aéronautique."
127,314544,RECONFIGURE,3.97,REconfiguration of CONtrol in Flight for Integral Global Upset REcovery,Commercial aircraft fault tolerant control (FTC) strategies in the flight control system (FCS) are based on fail-safe approaches whereby a nominal control law is switched first to a robust solution and then if necessary to a direct law controlling the actuators surfaces. Each component of the control law set is designed off-line and has a different level of robustness and performance. The reasons ,core,"Le texte porte « aircraft », « flight » — objet développé apparemment aéronautique."
128,820516,FIVER,0.85,"Innovative solution for FMS computed trajectories validation by means of pilot actions emulation, comparison with PANS-OPS criteria and data mining techniques.","This proposal combines the skills of CGX AERO in procedure design, cartography and aeronautical software development with the expertise of SCALIAN EUROGICIEL in big data and data mining techniques to set up an innovative platform for a new philosophy of FMS trajectories validation.The consortium proposes to address first a larger scale of trajectories testing by gathering reference trajectories, d",core,"Le texte porte « aeronautical », « aeronautic », « flight » — objet développé apparemment aéronautique."
129,892002,SINAPSE,0.85,"Software defined networking architecture augmented with Artificial Intelligence to improve aeronautical communications performance, security and efficiency","The SINAPSE project aims at proposing an intelligent and secured aeronautical datalink communications network architecture design based on the Software Defined Networking (SDN) architecture model augmented with Artificial Intelligence (AI) to predict and prevent safety services outages, to optimize available network resources and to implement cybersecurity functions protecting the network against ",core,"Le texte porte « aeronautical », « aeronautic » — objet développé apparemment aéronautique."
130,255730,ASE-TB,0.18,"Design and development of an Adaptive, Smart and Eco-efficient Test Bench for synchronized testing of linear actuators in the aeronautic sector","The ASE-TB project will design, manufacture and tune an innovative and smart Test Bench for linear actuators that will be capable of conducting synchronized tests on two linear actuators of the same type while applying different loads on them. The test bench will also include a thermal chamber for conducting tests at regulated temperatures with one of the actuators. This actuator test bench will b",core,Le texte porte « aeronautic » — objet développé apparemment aéronautique.
