n,concept,source_id,acronym,appel,meur,titre,resume_court,label_propose,raison
88,aircraft,717745,METALCLEAN,H2020-SMEINST-1-2015,0.05,New Innnovative and cost effective metal cleaning machine,METALCLEAN is an innovative equipment for high precision cleaning of metal parts based on the engineered tailoring of several operational parameters. Cleaning is an unavoidable sta,excluded,Machine de nettoyage de pièces métalliques
89,aircraft,820531,FrictionHarmonics,H2020-EIC-FTI-2018-2020,2.19,Automated scanner for kissing bond detection in friction stir welded materials,Friction Stir Welding (FSW) is a material joining technique that is a major breakthrough due to its substantial advantages compared to other techniques for welding aluminum alloys.,borderline,Contrôle non destructif du soudage FSW — procédé multi-secteurs
90,aircraft,880308,AARN,H2020-SMEInst-2018-2020-2,1.22,Ascend Avian Radar Network,"An estimated 20.000 collisions between aircrafts and birds are expected to happen in Europe in 2019. Resulting in massive costs and delays for passengers, airlines, and airports. W",core,Réseau radar aviaire contre les collisions aéronef-oiseau
91,aircraft,101138105,ALRIGH2T,HORIZON-CL5-2023-D5-01,10.00,Airport-Level DemonstRatIon of Ground refuelling of Liquid Hydrogen for AviaTion,"ALRIGH2T responds in full to the “expected outcomes” and “scope” of the HORIZON-CL5-2023-D5-01-07 topic, by developing and demonstrating two alternative technologies for LH2 aircra",core,Avitaillement hydrogène au niveau aéroport (F3 : intégration explicite)
92,aircraft,826610,COMP4DRONES,H2020-ECSEL-2018-2-RIA-two-stage-1,7.99,Framework of key enabling technologies for safe and autonomous drones’ applications,"Drones can perform air operations that manned aircrafts struggle with, and their use brings significant economic savings and environmental benefits whilst reducing the risk to huma",core,Technologies habilitantes pour des drones sûrs (F2)
93,aircraft,101103681,TEMPEST,HORIZON-CL5-2022-D2-01,3.61,nexT gEneration MultiPle architEcture battery Systems for indusTry,"To date, most modern, off-the-shelf battery designs targeting lightweight application use lithium-ion technology. This is due to the fact that other existing technologies such as N",excluded,Systèmes de batteries de nouvelle génération
94,aircraft,874346,ICE4ATM,H2020-SMEInst-2018-2020-2,1.21,ATMOSPHERIC IMPACT CALCULATOR ENGINE FOR AIR TRAFFIC MANAGEMENT (ICE4ATM),"Atmospheric dispersion of hazardous substances (mainly volcanic ash, but also mineral dust or SO2) influences manyeconomic markets, and poses a variety of problems to the aviation ",core,Calculateur d'impact atmosphérique pour la gestion du trafic aérien (F1)
95,aircraft,789028,QuantCom,ERC-2017-ADG,2.50,Ubiquitous Quantum Communications,"''It is difficult to make predictions, especially about the future'' - Mark Twain.Yet, Gordon Moore's predictions - known as Moore's Law - made in 1965 remained valid for half a ce",excluded,Communications quantiques
96,aircraft,723986,EUNADICS-AV,H2020-MG-2016-SingleStage-INEA,7.44,European Natural Airborne Disaster Information and Coordination System for Aviation,Aviation is one of the most critical infrastructures of the 21st century. Even comparably short interruptions can cause economic damage summing up to the Billion-Euro range. As evi,core,Information sur les catastrophes aéroportées pour l'aviation (pont Space × Aviation connu)
97,aircraft,799902,NI HTS machine,H2020-MSCA-IF-2017,0.18,Developing novel high temperature superconductor rotor windings for electric aircraft propulsion machines,"The 2nd generation high temperature superconductor (2G HTS) machine has a significant advantage in high power density, enabling it to play a revolutionary role in electrical aircra",borderline,Machines supraconductrices haute densité — débouché aéronautique non déclaré
98,aircraft,800881,HYSCALA,H2020-FETOPEN-4-2016-2017,0.10,Hybrid SCAlable sparse matrix Linear Algebra for industrial applications,HYSCALA will develop a value proposition based on Fraunhofer’s linear algebra library GaspiLS for industrial applications. HYSCALA aims at understanding the customer needs in sever,excluded,Bibliothèque d'algèbre linéaire
99,aircraft,701336,DNSVCFA,H2020-MSCA-IF-2015,0.18,Development of a novel servovalve concept for aircraft,"The aim of this research project is to develop, in line with the Work Programme 2014-2015 of Horizon 2020 “Smart, green and integrated transport-mobility for growth”, a novel servo",core,Servovalve pour actionneur d'aéronef : systèmes avion
100,aircraft,699202,TMC Brake,H2020-SMEINST-1-2015,0.05,"Development of a titanium composite brake part for weight reduction and hence lower fuel burn and emissions on a large, long haul aircraft","This project will develop the technical, business and market analysis required to develop, a viable performance and economic case for Airbus to invest in flight qualification of ti",borderline,Pièce de frein en composite de titane — secteur cible ambigu
101,aeronautical engineering,820776,INTEGRADDE,H2020-NMBP-FOF-2018,12.72,Intelligent data-driven pipeline for the manufacturing of certified metal parts through Direct Energy Deposition processes,The industrialisation of Additive Manufacturing (AM) requires a holistic data management and integrated automation. INTEGRADDE aims to develop an end-to-end Digital Manufacturing s,excluded,Pipeline de données pour la fabrication additive — industrie générale
102,aeronautical engineering,101138319,ROSAS,HORIZON-CL5-2023-D5-01,4.63,RObust simulation Systems exploiting AI based turbulence models and hight-fidelity algorithmS,"To meet global EU objectives related to aeronautical industry competitiveness and climate-neutrality, highly advanced design technologies are needed to allow fast and reliable eval",core,Simulation de turbulence par IA pour l'industrie aéronautique
103,aeronautical engineering,768016,WEGOOI,H2020-SMEINST-2-2016-2017,0.77,Wind Energy Generator Onshore and Offshore Inspector,"Alerion Technologies commercialises turnkey data solutions for extreme environments through proprietary RPAS that are autonomous and intelligent. After a Feasibility Study, Alerion",excluded,Inspection d'éoliennes terrestres et en mer
104,aeronautical engineering,737183,DISCOVERER,H2020-FETOPEN-1-2016-2017,5.73,DISCOVERER – DISruptive teChnOlogies for VERy low Earth oRbit platforms,"We envision a radical redesign of Earth observation platforms for sustained operation at significantly lower altitudes than the current state of the art, using a combination of new",excluded,Plateformes d'observation en très basse orbite — spatial
105,aeronautical engineering,687242,SMILE,H2020-COMPET-2015,3.99,SMILE - SMall Innovative Launcher for Europe,Current launchers (ARIANE6 and VEGA C) will guarantee Europe’s independent access to space for the high-end satellite market. These launchers however are significantly less attract,excluded,Petit lanceur européen — spatial
106,aeronautical engineering,769658,AEROFLEX,H2020-GV-2017,9.53,Aerodynamic and Flexible Trucks for Next Generation of Long Distance Road Transport,The transport sector contributes to about 25% of total CO2 emissions in the EU and is the only sector where the trend is still increasing. Taking into account the growing demand on,excluded,Camions aérodynamiques et flexibles — transport routier
107,aeronautical engineering,769237,HOMER,H2020-MG-2017-Two-Stages,4.91,Holistic Optical Metrology for Aero-Elastic Research,HOMER is aiming at the development of non-intrusive experimental flow diagnostic and data assimilation methods to expand capabilities from the aerodynamic analysis to the investiga,core,Métrologie optique pour la recherche aéroélastique : moyens d'essais
108,aeronautical engineering,635962,TILDA,H2020-MG-2014_TwoStages,2.71,Towards Industrial LES/DNS in Aeronautics – Paving the Way for Future Accurate CFD,The ability to simulate aerodynamic flows using CFD methods has progressed rapidly over the last decades and has given rise to a change in design processes in aeronautics already. ,core,LES/DNS industrielle en aéronautique
109,aeronautical engineering,769088,UHURA,H2020-MG-2017-Two-Stages,6.12,Unsteady High-Lift Aerodynamics – Unsteady RANS Validation,UHURA aims at validating unsteady numerical simulations of the aerodynamics of high-lift systems during deployment and retraction. In detail we perform:- Validation of numerical si,core,Aérodynamique instationnaire des dispositifs hypersustentateurs
110,aeronautical engineering,722734,UTOPIAE,H2020-MSCA-ITN-2016,3.88,Uncertainty Treatment and OPtimisation In Aerospace Engineering,"In an expanding world with limited resources and increasing uncertainty, optimisation and uncertainty quantification become a necessity. Optimisation can turn a problem into a solu",core,Optimisation sous incertitude en conception aérospatiale
111,aeronautical engineering,715757,MECHANO-FLUO,ERC-2016-STG,1.50,Mechanofluorochromism: from molecular engineering to the elaboration of smart materials,"The MECHANO-FLUO project aims at preparing mechanofluorochromic molecules and materials, understand and tune their photophysical and mechanofluorochromic properties, and implement ",excluded,Molécules mécanofluorochromes — chimie
112,aeronautical engineering,643095,MIGRATE,H2020-MSCA-ITN-2014,3.82,Research and training network on MIniaturized Gas flow for Applications with enhanced Thermal Effects,Depletion of natural resources combined with the extending footprint of mankind has led to a shift in importance of research and development topics. In the 1970s and 1980s process ,excluded,Écoulements gazeux miniaturisés
113,aeronautical engineering,807091,ECO GAM 2018,H2020-IBA-CS2-GAMS-2017,2.98,Eco-Design Transverse Activity GAM 2018,"Integrating ecologic, economic and socio-economic effects, ecoDESIGN will strongly contribute to sustainability and future competitiveness of the European aviation industry accordi",core,Clean Sky 2 — éco-conception transverse GAM (appel GAM non capté)
114,aeronautical engineering,665477,FLOVISP,ERC-2014-PoC,0.15,Flow Visualization Based Pressure,The ERC-FLOVIST project has focused on advancing Tomographic Particle Image Velocimetry (PIV) towards a versatile technique for the non-intrusive diagnostics of aero-acoustic probl,borderline,Vélocimétrie par images de particules — instrumentation de mécanique des fluides
115,aeronautical engineering,731599,Platforms4CPS,H2020-ICT-2016-1,1.00,"Creating the CPS Vision, Strategy, Technology Building Blocks and Supporting Ecosystem for Future CPS Platforms",Support for development and integration of Cyber-Physical Systems is seen as essential for the future. As the embedded world meets the Internet world there will be an increasing nu,excluded,Vision et feuille de route des systèmes cyber-physiques
116,aeronautical engineering,723795,4D hybrid,H2020-FOF-2016,4.99,"Novel ALL-IN-ONE machines, robots and systems for affordable, worldwide and lifetime Distributed 3D hybrid manufacturing and repair operations","From aeronautics to oil&gas, complex metal parts embrace major challenges across their lifecycles from the green field intensive manufacturing to the numerous maintenance and repai",excluded,Machines tout-en-un « de l'aéronautique au pétrole-gaz » — multi-secteurs
117,aeronautical engineering,671603,ALLScale,H2020-FETHPC-2014,3.37,"An Exascale Programming, Multi-objective Optimisation and Resilience Management Environment Based on Nested Recursive Parallelism","Extreme scale HPC systems impose significant challenges for developers aiming at obtaining applications efficiently utilising all available resources. In particular, the developmen",excluded,Programmation exascale
118,aeronautical engineering,675441,VIPER,H2020-MSCA-ITN-2015,3.13,VIbro-acoustics of PERiodic media,VIPER is a European Joint Doctorate network focused on research in VIbroacoustic of PERiodic media. Structural periodic design is a powerful strategy for lightweight structures ach,borderline,Vibroacoustique des milieux périodiques — physique générale
119,aeronautical engineering,723149,PARSIFAL,H2020-MG-2016-Two-Stages,2.96,Prandtlplane ARchitecture for the Sustainable Improvement of Future AirpLanes,The project PARSIFAL (Prandtlplane ARchitecture for the Sustainable Improvement of Future AirpLanes) aims at defining the basis to improve the air transport of the future by evalua,core,Architecture Prandtlplane pour les avions du futur
120,aeronautical engineering,752669,DUF,H2020-MSCA-IF-2016,0.15,Deep Learning UAV Networks for Autonomous Forest Firefighting,"Thousands of hectares of forest lands are lost to wildfires every year. Utilization of Unmanned Aerial Vehicles (UAVs) is an efficient tool for fighting fires, however the state-of",excluded,"Le drone est l'OUTIL d'une surveillance forestière (I5, F2)"
121,aeronautical engineering,101138488,FlyECO,HORIZON-CL5-2023-D5-01,3.50,Future enabLing technologies for hYdrogen-powered Electrified aero engine for Clean aviatiOn,FlyECO will deliver transformative technologies to support Integrated Power and Propulsion Systems (IPPS) that contributes to zero-emission and sustainable growth of aviation and h,core,Technologies habilitantes pour la propulsion d'avion à hydrogène (F3)
122,aeronautical engineering,836347,LEWIATH,H2020-SMEInst-2018-2020-1,0.05,LEveraging WInd-Assisted THrust,"Maritime transport dominates global freight transportation with 58,500 vessels totaling covering 90% of global goods trade. Marine propulsion market is expected to grow at a CAGR w",excluded,Propulsion vélique — transport maritime
123,aeronautical engineering,286560,CARE,FP7-REGIONS-2011-1,2.27,Clean Aerospace Regions,"Green technologies are key competitive advantages of future air transport systems. Major environmental challenges are at stake in aircraft life cycle management, air traffic manage",borderline,Clusters régionaux aérospatiaux — l'objet est le développement régional
124,aeronautical engineering,737422,SCOTT,H2020-ECSEL-2016-2-IA-two-stage,10.23,Secure COnnected Trustable Things,"Creating trust in wireless solutions and increasing social acceptance are major challenges to achieve the full potential of the Internet of Things. SCOTT, with 57 key partners from",excluded,Objets connectés de confiance
125,aeronautical engineering,636202,AGILE,H2020-MG-2014_TwoStages,7.07,Aircraft 3rd Generation MDO for Innovative Collaboration of Heterogeneous Teams of Experts,AGILE targets multidisciplinary optimization using distributed analysis frameworks. The involvement of many disciplinary analyses ranging up to high levels of fidelity and agile wo,core,Optimisation multidisciplinaire de 3e génération pour l'avion
126,aeronautical engineering,637080,SYMPLEXITY,H2020-FoF-2014,6.66,Symbiotic Human-Robot Solutions for Complex Surface Finishing Operations,In nearly every sector of industrial manufacturing polishing techniques are used. But often manual polishing is the only option because the tasks are too complex to be automated. T,excluded,Polissage robotisé de surfaces complexes
127,aeronautical engineering,301287,ACOCTIA,FP7-PEOPLE-2011-IEF,0.17,Active Control Of Cavity Tones In Aircrafts,Airframe noise is equal to or louder than engine noise during the landing approach of a commercial aircraft. With the growth of air traffic as well as the ever increasing level of ,core,Contrôle actif des tonalités de cavité sur aéronef : bruit de cellule
128,aeronautical engineering,876038,InSecTT,H2020-ECSEL-2019-1-IA,11.25,Intelligent Secure Trustable Things,Artificial Intelligence of Things (AIoT) is the natural evolution for both Artificial Intelligence (AI) and Internet of Things (IoT) because they are mutually beneficial. AI increa,excluded,Objets intelligents sécurisés
129,aeronautical engineering,826247,HEAVEN,H2020-JTI-FCH-2018-1,4.00,High powEr density FC System for Aerial Passenger VEhicle fueled by liquid HydrogeN,"The main goal of HEAVEN project is to design, develop and integrate a powertrain based on high power fuel cell and cryogenic technology into an existing 2-4 seats aircraft for test",core,Chaîne de traction à pile à combustible pour aéronef de transport de passagers (F3)
130,aeronautical engineering,636860,FORTAPE,H2020-FoF-2014,5.03,RESEARCH ON EFFICIENT INTEGRATED SYSTEMS FOR THE MANUFACTURING OF COMPLEX PARTS BASED ON UNIDIRECTIONAL TAPES FOR THE AUTOMOTIVE AND AERONAUTICAL,More and more industrial sectors are demanding high performance composite materials to face new challenges demanded by the transport sector. Carbon and glass fibre unidirectional c,excluded,Fabrication de composites — procédé multi-secteurs
131,aeronautical engineering,723616,THOMAS,H2020-FOF-2016,4.51,Mobile dual arm robotic workers with embedded cognition for hybrid and dynamically reconfigurable manufacturing systems,The productivity of the serial production model is compromised by the need to perform changes in the production equipment that cannot support multiple operations in dynamic environ,excluded,Robots mobiles bi-bras en production
132,aeronautical engineering,101075903,LINING,ERC-2022-STG,1.50,Acoustic fLow InteractioN over sound absorbing surfaces: effects on ImpedaNce and draG,"The lack of fundamental knowledge of the interaction between an acoustic wave and a turbulent boundary layer grazing an acoustically treated surface, such as an acoustic liner, is ",borderline,Interaction acoustique-écoulement sur surfaces absorbantes — physique
133,aeronautical engineering,651315,NIR-PERFECT,H2020-SMEINST-1-2014,0.05,Non-contact Near Infra-Red insPEction and monitoRing For Evaluation of ComposiTes,"Increasing automation and demands for quality in production (food, pharmaceuticals, non-metals such as polymers and composite components etc.) has resulted in visual and optical in",excluded,"Inspection proche infrarouge (agroalimentaire, pharmacie)"
134,aeronautical engineering,828346,MultiSingle-WIMMIC,H2020-SMEInst-2018-2020-1,0.05,“The world´s first Multifunctional Single MMIC for Ku-Band Satcom-On-the-Move (SOTM) phased-array antennas”,"The communications on-the-move (OTM) is a growing market. Existing solutions, based on parabolic antennas and land connections, pose limitations for OTM applications and, therefore",excluded,MMIC pour communications en mouvement
135,aeronautical engineering,239536,FLOCON,FP7-PEOPLE-IRG-2008,0.10,"Flow Control: Reduced Order Modelling, Nonlinear Analysis and Control Design","Fluid flow, i.e. the motion of liquids or gases, is a phenomenon that one encounters continuously in everyday life. The flow of air around the body of a car or the wing of an aircr",borderline,Contrôle d'écoulement et modèles réduits — sans application aéronautique déclarée
136,aeronautical engineering,618159,NUMIWING,FP7-PEOPLE-2013-CIG,0.10,Numerical modelling of inflatable airborne wind energy systems,The proposed research aims to numerically model the mutual interactions between the aero- and structural- dynamics of inflatable airborne wind energy systems. Such systems offer se,excluded,Ailes gonflables pour l'énergie éolienne aéroportée
137,aeronautical engineering,824350,OSCAR,H2020-MG-2018-SingleStage-INEA,1.55,Open ScienCe Aeronautic & Air Transport Research,"The transport sector as such is usually categorized by transport modes (surface transport, aviation and - upcoming - space). Both the production of transport vehicles and their ope",core,Science ouverte pour la recherche aéronautique et le transport aérien
138,aeronautical engineering,101169009,H2POWRD,HORIZON-MSCA-2023-DN-01,4.06,Harnessing Hydrogen’s POtential With Rotating Detonation,H2POWRD seeks to harness hydrogen's potential with rotating detonation combustion (RDC) integrated with a gas turbine (RDGT). Rotating detonation is a paradigm breaking technology ,core,Détonation rotative à hydrogène intégrée à une turbine aéronautique (F3)
139,aeronautical engineering,688093,PI-SCALE,H2020-ICT-2015,14.00,Bringing flexible organic electronics to pilot innovation scale,“Bringing flexible organic electronics to pilot innovation scale” (PI-SCALE) is a highly needed response to bridge the gap which exists today between promising laboratory scale res,excluded,Électronique organique souple
140,aeronautical engineering,690725,EMUSIC,H2020-MG-2015_SingleStage-A,1.80,"Efficient Manufacturing for Aerospace Components USing Additive Manufacturing, Net Shape HIP and Investment Casting","This proposal is in response to the call for International Cooperation in Aeronautics with China, MG-1.10-2015 under Horizon 2020 “Enhanced Additive Manufacturing of Metal Componen",enabling,Fabrication efficiente de composants aérospatiaux (coopération Chine)
141,aeronautical engineering,643167,AEOLUS4FUTURE,H2020-MSCA-ITN-2014,3.81,Efficient harvesting of the wind energy,"As wind energy is considered one of the most promising renewable energy resources, energy production technologies relying on wind energy are currently flourishing under the EU ambi",excluded,Énergie éolienne
142,aeronautical engineering,769288,ReMAP,H2020-MG-2017-Two-Stages,6.81,Real-time Condition-based Maintenance for Adaptive Aircraft Maintenance Planning,ReMAP will contribute to reinforcing European leadership in aeronautics by developing an open-source Integrated Fleet Health Management (IFHM) solution for aircraft maintenance. By,core,Maintenance prédictive pour l'aéronautique
143,aeronautical engineering,769274,AIRPOXY,H2020-MG-2017-Two-Stages,6.50,"ThermoformAble, repaIrable and bondable smaRt ePOXY based composites for aero structures","With strong growly rates of 13% in the aero sector, and demands predicted to be doubled by 2032, carbon composites (CC) are under the spotlight. CC production requires a quick ramp",enabling,Époxy intelligent thermoformable pour le secteur aéro
144,aeronautical engineering,650877,AST-FCS_vF,H2020-SMEINST-1-2014,0.05,ADAPTIVE SELF-TUNING FLIGHT CONTROL SYSTEM COMPLETE AND QUALIFIED,"The objective of the overall innovation project is the commercialization of the first Adaptive Self-Tuning Flight Control System(AST-FCS) in the history of aeronautics, based on in",core,Système de commande de vol adaptatif auto-réglant
145,aeronautical engineering,889405,PIPER,H2020-SMEInst-2018-2020-1,0.05,"Printing of Ultra-Thin, Flexible Perovskite Solar Cells and its Commercial Application","The impact of buildings to European final energy consumption has been assessed at 40%, making the building stock responsible for 36% of CO2 emissions. The reduction of energy consu",excluded,Cellules solaires pérovskite pour le bâtiment
146,aeronautical engineering,640480,SUNJET II,H2020-MG-2014_SingleStage_A,0.61,SUstainable Network for Japan-Europe aerospace research and Technology cooperation II,SUNJET II proposal responds to the H2020-MG-2014 Topic 1.8 International Cooperation in Aeronautics of the work programme. Its main objectives are:• Recommendations and guidance fo,core,Réseau de recherche aérospatiale Japon-Europe
147,aeronautical engineering,663138,COLOMBUS-1,H2020-SMEINST-1-2014,0.05,COmposite repair solutions for aeronautical BUSiness development – Phase 1,"Composites are extensively used in many industrial applications, primarily in Transport. A technological sector dealing with composite repair solutions has emerged, now expanding p",core,Réparation composite pour l'aéronautique d'affaires
148,aeronautical engineering,666624,IRWES,H2020-SMEINST-2-2014,1.70,Integrated Roof Wind Energy System,"The Integrated Roof Wind Energy System (IRWES) is the breakthrough solution overcoming all shortcomings of existing renewable energy solutions. IRWES is a roof-mounted, elegant str",excluded,Éolien intégré en toiture
149,aeronautical engineering,767560,MUSIC-haic,H2020-MG-2017-Two-Stages,4.81,3D MUltidisciplinary tools for the Simulation of In-flight iCing due to High Altitude Ice Crystals,Icing is a major hazard for aviation safety. In the last decades an additional risk has been identified when flying in clouds with high concentrations of ice-crystals where ice acc,core,Simulation 3D du givrage : sécurité aérienne
150,aeronautical engineering,730038,GaNOMIC,H2020-COMPET-2016,1.54,GaN in One Module Integrated Converter for EP systems,"Satellite contractors are permanently looking for cost and performance improvements. This cascades to the PPU, a subsystem having a very high impact on the cost and performance of ",excluded,Convertisseur GaN pour propulsion électrique de satellites — spatial
151,aeronautical engineering,644742,LEO,H2020-ICT-2014-1,3.99,Low-cost / energy Efficient Oleds for lighting,"LEO ambitions innovative manufacturing concept & routes towards high performance bendable and low cost OLEDs for general and mood lighting, merging conventional and proven technolo",excluded,OLED pour l'éclairage
152,aeronautical engineering,842536,AEROSIMULAT,H2020-MSCA-IF-2018,0.25,High-performance aerodynamics and aeroacoustics simulations of the new generation of high-speed gas turbines via high-order Galerkin methods,The main goal of this project is to perform efficient and accurate simulations of the turbulent compressible flow and generated noise on the new high-speed gas turbines at operatio,core,Simulation aérodynamique et aéroacoustique aéronautique
153,aeronautical engineering,769220,PARE,H2020-MG-2017-SingleStage-RTD-MOVE,1.77,Perspectives for the Aeronautical Research in Europe,The overall objective of PARE (Perspectives for the Aeronautical Research in Europe) is to trigger collaboration between European stakeholders to support the achievement of the Fli,core,Perspectives de la recherche aéronautique en Europe
154,aeronautical engineering,312314,CONVENIENT,FP7-SST-2012-RTD-1,9.90,COmplete Vehicle Energy-saving Technologies for Heavy-Trucks,The CONVENIENT project targets a 30% reduction of fuel consumption in vehicles for long-distance freight transport by developing an innovative heavy-truck archetype featuring a sui,excluded,Économies d'énergie pour poids lourds
155,aeronautical engineering,675008,SSeMID,H2020-MSCA-ITN-2015,3.90,Stability and Sensitivity Methods for Industrial Design,"The increasing environmental awareness of the European society has been always present in the aeronautical community, industry and research centres, having a definite influence on ",core,Méthodes de stabilité et sensibilité pour la conception aéronautique
156,aeronautical engineering,744239,NJORD,H2020-SMEINST-1-2016-2017,0.05,Rugged Long-lasting Vertical-Axis Wind Turbine for Extreme Wind Conditions,"Extreme weather conditions (i.e. strong and unsteady winds, icing, etc.) - that countries such as Iceland and the other four Nordics (Sweden, Denmark, Norway, and Finland), the UK,",excluded,Éolienne à axe vertical
157,aeronautical engineering,640597,Future Sky Safety,H2020-MG-2014_SingleStage_A,14.88,Future Sky Safety,The EC Flight Path 2050 vision aims to achieve the highest levels of safety to ensure that passengers and freight as well as the air transport system and its infrastructure are pro,core,Programme de sécurité de l'aviation (Future Sky Safety)
158,aeronautical engineering,101066502,SYSVAL,HORIZON-MSCA-2021-PF-01,0.22,"A simple, systematic and integrity-preserving model for values in science","In the face of controversial debates about appropriate influence of values in the assent phase of science (where hypotheses/theories are accepted or rejected), which provide only c",excluded,Philosophie des sciences : valeurs et validation
159,aeronautical engineering,872440,4Gen Light Aircraft,H2020-SMEInst-2018-2020-2,2.50,"Revolutionizing the general aviation industry thanks to a disruptive technology born in ocean racing to deliver a safer, environment-friendly, cost-saving and versatile new generation of aircrafts.","In 2018, commercial pilots around the world still learn to fly on aircraft designed just after World War II! This is unacceptable, considering that these aircraft are complex and c",core,Avion de formation de nouvelle génération pour l'aviation générale
160,aeronautical engineering,679355,BIAF,ERC-2015-STG,2.00,Bird Inspired Autonomous Flight,"The agile and efficient flight of birds shows what flight performance is physically possible, and in theory could be achieved by unmanned air vehicles (UAVs) of the same size. The ",core,Vol autonome inspiré des oiseaux : recherche en performance de vol
161,aeronautical engineering,672032,ACEP,H2020-SMEINST-2-2014,2.50,Airlander Civil Exploitation Project,"The Airlander hybrid air vehicle is a new form of aircraft designed by Hybrid Air Vehicles Ltd (HAV). The vehicle combines inert lifting gas, aerodynamics and vectored thrust to de",core,Airlander : aéronef hybride
162,aeronautical engineering,704133,PIEZOMACH,H2020-MSCA-IF-2015,0.15,Piezoelectric Vibration Absorber for Machining Applications,The main idea of the PIEZOMACH project is to develop a fully passive nonlinear device for suppressing chatter vibrations in machine tools. These vibrations represent a major concer,excluded,Absorbeur piézoélectrique pour l'usinage
163,aeronautical engineering,706283,VORTSHEET,H2020-MSCA-IF-2015,0.20,Vortex sheets - from new intuitions to crucial questions.,"Understanding fundamental phenomena in fluid mechanics, such as formation of vortices at wingtips of a plane taking off or development of repetitive turbulent patterns of clouds, r",borderline,Nappes tourbillonnaires — mécanique des fluides fondamentale
164,aeronautical engineering,304099,LARGEFLOWVIS,FP7-PEOPLE-2011-CIG,0.10,Large Scale Flow Visualization and Analysis,"Scientific visualization of large-scale vector fields with modern, so-called integration-based methods that rely on the analysis of particle trajectories is not feasible with curre",excluded,Visualisation scientifique de champs vectoriels
165,aeronautical engineering,660759,MADDOG,H2020-MSCA-IF-2014,0.20,Multidisciplinary Adjoint Design Optimisation of Gasturbines,Adjoint based design optimization techniques are widely recognized as having a large potential to revolutionize the design process of modern gasturbines. By applying such technique,borderline,Optimisation adjointe de turbines à gaz — secteur non précisé
166,aeronautical engineering,769346,ARIAS,H2020-MG-2017-Two-Stages,7.50,Advanced Research Into Aeromechanical Solutions,The ARIAS research and innovation project directly targets “maintaining industrial leadership in aeronautics” of the European aircraft engine manufacturing sector in the important ,core,Solutions aéromécaniques avancées pour le leadership aéronautique
167,aeronautical engineering,868808,MicroCoating,H2020-SMEInst-2018-2020-1,0.05,Boosting the Performances of Wind Turbines thanks to Microstructure Coating,"The wind energy market is developing quickly and it will produce 15% of the EU’s electricity demand by 2020, avoiding 333 million tonnes of CO2 per year and saving Europe €28 billi",excluded,Revêtements pour éoliennes
168,aeronautical engineering,101171280,SPANDRELS,ERC-2024-COG,2.00,SParse AND paRsimonious Event-based fLow Sensing,The closed-loop control of unsteady turbulent flows requires efficient strategies to sense the flow state. Despite the challenge posed by the non-linearities and the large range of,borderline,Détection événementielle d'écoulements — contrôle de turbulence générique
169,aeronautical engineering,636494,ComBoNDT,H2020-MG-2014_TwoStages,4.62,Quality assurance concepts for adhesive bonding of aircraft composite structures by advanced NDT,The integration of innovative lightweight materials like CFRP into multi-material design (MMD) environments in aeronautic applications brings along a paradigm shift in initial desi,enabling,"Assurance qualité du collage de composites, débouché aéronautique"
170,aeronautical engineering,618756,UNAELCO,FP7-PEOPLE-2013-CIG,0.08,Unsteady aeroelastic control for multi-MW wind turbine rotors,The overall objective of the project is to enhance the knowledge and develop advanced methods and tools for the research and development of unsteady aeroelastic control concepts fo,excluded,Aéroélasticité des éoliennes multi-MW (négatif difficile du gold set)
171,rotorcraft,641572,5 LIVES,H2020-Galileo-2014-1,1.57,"Search, Challenge, Fight, Care, Rescue for Lives.",The 5-LIVES project has its foundlings and justifications on the benefits that rotorcraft industry can obtain by the exploitation of European Satellite Navigation services within o,core,Bénéfices GNSS pour l'industrie de la voilure tournante (SAR)
172,rotorcraft,836564,FANVIS,H2020-SMEInst-2018-2020-1,0.05,Development of new optical absorption filters for application in Night Vision Imaging Systems,"Technology and design improvements in Night Vision Imaging Systems (NVIS) have led to important price reductions in these equipment, so their use is growing in the civil segments, ",enabling,Filtres optiques pour systèmes de vision nocturne aéronautiques
173,rotorcraft,762392,YawSTOP,H2020-SMEINST-1-2016-2017,0.05,"First stabilisation device to enable rotation-free and rotation-controlled lifting and loading of cargo and goods by cranes or helicopters to make transportation more efficient, reliable and safe","We aim to improve the competitiveness of the European Offshore Marine Transportation sector by reducing costs for lifting operations, increasing efficiency, become more independent",excluded,Stabilisation pour le transport maritime en mer
174,rotorcraft,724958,PROFIT,H2020-SMEINST-2-2016-2017,1.80,Cost-effective high speed Production for Fasteners in Titanium for the automotive industry,"Starting originally in 1950 with the manufacturing of titanium components for motorsports, we, POGGIPOLINI became official suppliers for the Formula One (Ferrari and McLaren) in th",excluded,Production de fixations titane — sous-traitance multi-secteurs
175,rotorcraft,101280424,NEMORE,HORIZON-MSCA-2025-PF,0.40,Next-gen Energy-aware MOrphological Rotorcraft for resilient Environmental missions,"Unmanned Aerial Vehicles (UAVs, commonly known as drones) are becoming increasingly vital for environmental monitoring, disaster response, precision agriculture, and inspection of ",core,Voilure tournante morphologique économe pour drones (F2)
176,rotorcraft,788247,GRIFFIN,ERC-2017-ADG,2.50,General compliant aerial Robotic manipulation system Integrating Fixed and Flapping wings to INcrease range and safety,"The goal of GRIFFIN is the derivation of a unified framework with methods, tools and technologies for the development of flying robots with dexterous manipulation capabilities. The",core,Robotique aérienne à manipulation : développe l'aéronef (F2)
